component_id,module_path,responsibility,status,authorities,legacy_findings,classes,functions,lines
afip.__init__,afip/__init__.py,UNKNOWN,ACTIVE_UNVERIFIED,,,,,1
afip.accounting.__init__,afip/accounting/__init__.py,UNKNOWN,ACTIVE_UNVERIFIED,,,,,5
afip.accounting.exposure_reconciliation,afip/accounting/exposure_reconciliation.py,UNKNOWN,ACTIVE_UNVERIFIED,,,ExposureReconciliation|ExposureReconciliationResult,_mapping|_number|evaluate,81
afip.accounting.position_accounting_entry,afip/accounting/position_accounting_entry.py,EXECUTION,ACTIVE_UNVERIFIED,,,PositionAccountingEntry|PositionAccountingEntryBuilder,_mapping|_number|build,93
afip.accounting.position_ledger,afip/accounting/position_ledger.py,UNKNOWN,ACTIVE_UNVERIFIED,,,PositionLedger|PositionLedgerSnapshot,_mapping|_number|summarize,86
afip.accounting.position_valuation,afip/accounting/position_valuation.py,UNKNOWN,ACTIVE_UNVERIFIED,,,PositionValuation|PositionValuationSnapshot,_mapping|_number|_resolve_market_price|_review|value,103
afip.accounting.unrealized_pnl,afip/accounting/unrealized_pnl.py,UNKNOWN,ACTIVE_UNVERIFIED,,,UnrealizedPnlCalculator|UnrealizedPnlSnapshot,_mapping|_number|calculate,78
afip.accounting.valuation_reconciliation,afip/accounting/valuation_reconciliation.py,UNKNOWN,ACTIVE_UNVERIFIED,,,ValuationReconciliation|ValuationReconciliationResult,_mapping|_number|evaluate,69
afip.adaptive_ai_foundation.__init__,afip/adaptive_ai_foundation/__init__.py,DATA_STORAGE,ACTIVE_UNVERIFIED,,,,,19
afip.adaptive_ai_foundation.foundation_observation,afip/adaptive_ai_foundation/foundation_observation.py,MARKET_REGIME,ACTIVE_UNVERIFIED,MARKET_REGIME|CONFIDENCE,,AdaptiveAIFoundationObservation,_ratio|from_mapping|has_regime|weighted_result,54
afip.adaptive_ai_foundation.foundation_policy,afip/adaptive_ai_foundation/foundation_policy.py,MARKET_REGIME,ACTIVE_UNVERIFIED,MARKET_REGIME,,AdaptiveAIFoundationDecision|AdaptiveAIFoundationPolicy,as_dict|decide,71
afip.adaptive_ai_foundation.foundation_profile,afip/adaptive_ai_foundation/foundation_profile.py,CONFIDENCE,ACTIVE_UNVERIFIED,MARKET_REGIME,,AdaptiveAIFoundationProfile,as_dict|expectancy|readiness_score,47
afip.adaptive_ai_foundation.foundation_report,afip/adaptive_ai_foundation/foundation_report.py,MARKET_REGIME,ACTIVE_UNVERIFIED,,,AdaptiveAIFoundationReport,as_dict|ready,36
afip.adaptive_ai_foundation.foundation_repository,afip/adaptive_ai_foundation/foundation_repository.py,CONFIDENCE,ACTIVE_UNVERIFIED,MARKET_REGIME|CONFIDENCE,,AdaptiveAIFoundationRepository,__init__|_build_profile|build_profiles|invalid_regime_count,49
afip.adaptive_ai_foundation.foundation_runtime,afip/adaptive_ai_foundation/foundation_runtime.py,DATA_STORAGE,ACTIVE_UNVERIFIED,,,AdaptiveAIFoundationRuntime,__init__|run,23
afip.adaptive_confidence.__init__,afip/adaptive_confidence/__init__.py,CONFIDENCE,ACTIVE_UNVERIFIED,CONFIDENCE,,,,19
afip.adaptive_confidence.confidence_observation,afip/adaptive_confidence/confidence_observation.py,CONFIDENCE,ACTIVE_UNVERIFIED,MARKET_REGIME|CONFIDENCE,,AdaptiveConfidenceObservation,_ratio|evidence_quality|from_mapping|has_market_regime|weighted_evidence_quality|weighted_raw_confidence,69
afip.adaptive_confidence.confidence_policy,afip/adaptive_confidence/confidence_policy.py,CONFIDENCE,ACTIVE_UNVERIFIED,CONFIDENCE,,AdaptiveConfidenceDecision|AdaptiveConfidencePolicy,as_dict|decide,93
afip.adaptive_confidence.confidence_profile,afip/adaptive_confidence/confidence_profile.py,CONFIDENCE,ACTIVE_UNVERIFIED,MARKET_REGIME|CONFIDENCE,,AdaptiveConfidenceProfile,adaptive_confidence|as_dict|confidence_adjustment|confidence_state,64
afip.adaptive_confidence.confidence_report,afip/adaptive_confidence/confidence_report.py,CONFIDENCE,ACTIVE_UNVERIFIED,CONFIDENCE,,AdaptiveConfidenceReport,as_dict|ready,38
afip.adaptive_confidence.confidence_repository,afip/adaptive_confidence/confidence_repository.py,CONFIDENCE,ACTIVE_UNVERIFIED,MARKET_REGIME|CONFIDENCE,,AdaptiveConfidenceRepository,__init__|_build_profile|build_profiles|invalid_market_regime_count,57
afip.adaptive_confidence.confidence_runtime,afip/adaptive_confidence/confidence_runtime.py,CONFIDENCE,ACTIVE_UNVERIFIED,CONFIDENCE,,AdaptiveConfidenceRuntime,__init__|run,26
afip.adaptive_learning.__init__,afip/adaptive_learning/__init__.py,RESEARCH,ACTIVE_UNVERIFIED,RESEARCH,,,,19
afip.adaptive_learning.learning_observation,afip/adaptive_learning/learning_observation.py,RESEARCH,ACTIVE_UNVERIFIED,MARKET_REGIME|RESEARCH,,AdaptiveLearningObservation,_float|_norm|from_mapping|has_market_regime|is_usable|learning_key,78
afip.adaptive_learning.learning_policy,afip/adaptive_learning/learning_policy.py,RESEARCH,ACTIVE_UNVERIFIED,RESEARCH,,AdaptiveLearningDecision|AdaptiveLearningPolicy,decide,56
afip.adaptive_learning.learning_profile,afip/adaptive_learning/learning_profile.py,RESEARCH,ACTIVE_UNVERIFIED,MARKET_REGIME|RESEARCH,,AdaptiveLearningProfile,from_observations|is_ready,107
afip.adaptive_learning.learning_report,afip/adaptive_learning/learning_report.py,RESEARCH,ACTIVE_UNVERIFIED,MARKET_REGIME|RESEARCH,,AdaptiveLearningReport,from_profiles,60
afip.adaptive_learning.learning_repository,afip/adaptive_learning/learning_repository.py,RESEARCH,ACTIVE_UNVERIFIED,RESEARCH,,AdaptiveLearningRepository,__init__|build_profiles|ready_profiles,30
afip.adaptive_learning.learning_runtime,afip/adaptive_learning/learning_runtime.py,RESEARCH,ACTIVE_UNVERIFIED,RESEARCH,,AdaptiveLearningRuntime,__init__|run,23
afip.adaptive_position_sizing.__init__,afip/adaptive_position_sizing/__init__.py,POSITION_SIZING,ACTIVE_UNVERIFIED,,,,,5
afip.adaptive_position_sizing.runtime,afip/adaptive_position_sizing/runtime.py,RISK_APPROVAL,ACTIVE_UNVERIFIED,UNIT_ALLOCATION|POSITION_SIZING|RISK_APPROVAL|MARKET_REGIME|CONFIDENCE|RESEARCH,,AdaptivePositionSizingReport|AdaptivePositionSizingRuntime,_integer|_number|as_dict|evaluate_one,204
afip.afip_bank_live.__init__,afip/afip_bank_live/__init__.py,UNKNOWN,ACTIVE_UNVERIFIED,,,,,5
afip.afip_bank_live.models,afip/afip_bank_live/models.py,PRESENTATION,ACTIVE_UNVERIFIED,,,AFIPBankReport|BankTransaction,as_dict,45
afip.afip_bank_live.runtime,afip/afip_bank_live/runtime.py,EXECUTION,ACTIVE_UNVERIFIED,,,AFIPBankLiveRuntime,_float|_items|_text|_upper|evaluate_one|explain_one,52
afip.ai_integration.__init__,afip/ai_integration/__init__.py,DATA_STORAGE,ACTIVE_UNVERIFIED,,,,,19
afip.ai_integration.integration_observation,afip/ai_integration/integration_observation.py,MARKET_REGIME,ACTIVE_UNVERIFIED,MARKET_REGIME,,AIIntegrationObservation,_ratio|from_mapping|has_market_regime|integration_quality,73
afip.ai_integration.integration_policy,afip/ai_integration/integration_policy.py,MARKET_REGIME,ACTIVE_UNVERIFIED,,,AIIntegrationDecision|AIIntegrationPolicy,as_dict|decide,94
afip.ai_integration.integration_profile,afip/ai_integration/integration_profile.py,RISK_APPROVAL,ACTIVE_UNVERIFIED,MARKET_REGIME,,AIIntegrationProfile,ai_alignment_score|as_dict|integration_quality|integration_state|recommended_ai_weight,75
afip.ai_integration.integration_report,afip/ai_integration/integration_report.py,MARKET_REGIME,ACTIVE_UNVERIFIED,,,AIIntegrationReport,as_dict,35
afip.ai_integration.integration_repository,afip/ai_integration/integration_repository.py,MARKET_REGIME,ACTIVE_UNVERIFIED,MARKET_REGIME,,AIIntegrationRepository,build_profiles,36
afip.ai_integration.integration_runtime,afip/ai_integration/integration_runtime.py,DATA_STORAGE,ACTIVE_UNVERIFIED,,,AIIntegrationRuntime,__init__|run,31
